Pixel_index,H,Sm,Mg,Al,Si,Ca,Ti,Fe,K,Th,U,Gd,O,MIN_LAT (deg),MAX_LAT(deg),MIN_LON deg,MAX_LON deg
0,0.000105236,0,0.043768734,0.094424731,0.2010102074799195,0.1545193221318773,0.00072112,0.03857048,0.000409045,7.603591629501137e-07,2.066194418393536e-07,0,0.4664701587611218,-90,-80,-180,180
1,5.751772160786117e-05,3.3491751730836107e-06,0.048613322,0.073325833,0.192826867,0.1394788670844879,0.002500779,0.058520515,0.000738029,1.6714008364679949e-06,4.553884682278932e-07,4.353927725008694e-06,0.4839284396827373,-80,-60,-180,-135
2,5.7824326679366976e-05,1.846880324439718e-06,0.040814051,0.085230249,0.1925072817596259,0.1428417525673797,0.000744268,0.039537342,0.000407636,9.347637775727688e-07,2.542675055347312e-07,2.4009444217716333e-06,0.4978541575562188,-80,-60,-135,-90
3,6.152228848229828e-05,1.376953643401044e-06,0.033489694,0.086163805,0.1852316614781294,0.1389110849776427,0.001307022,0.030692939,0.000221796,4.234434262103003e-07,1.1472284977098949e-07,1.7900397364213571e-06,0.5239167701538323,-80,-60,-90,-45
4,4.4463150956918106e-05,1.6186820208190216e-06,0.034850941,0.08925377,0.1823993734613065,0.1444005879973176,0.000703605,0.030626996,0.000211562,4.88730313802908e-07,1.3254805418482101e-07,2.104286627064728e-06,0.5175043564516583,-80,-60,-45,0
5,5.108536443024124e-05,1.4297426380709192e-06,0.036474997,0.089255285,0.182616016,0.1420670481325407,0.00108836,0.029923045,0.000204422,4.054874839336862e-07,1.0980821464680597e-07,1.858665429492195e-06,0.5183159376138133,-80,-60,0,45
6,6.275912523893149e-05,1.0889594660526863e-06,0.037495953,0.086244036,0.1857112855933396,0.1417197627413922,0.001719099,0.033913891,0.00020828,5.45461077487054e-07,1.480128567851629e-07,1.4156473058684923e-06,0.5129217346641006,-80,-60,45,90
7,7.295736226718873e-05,7.655099050332669e-07,0.041566736,0.091308849,0.1948885366688034,0.1467752099887806,0.00121933,0.037833809,0.000312546,6.162413280576142e-07,1.673057982425197e-07,9.95162876543247e-07,0.4860194816342984,-80,-60,90,135
8,5.832739765422885e-05,2.7852643872068814e-06,0.048043248,0.086411388,0.1987069779279348,0.1528499015274035,0.000819289,0.047810925,0.000619995,1.434672590162776e-06,3.907341016171795e-07,3.620843703368946e-06,0.4646717168532395,-80,-60,135,180
9,6.027228544371397e-05,2.0993406167070865e-06,0.046648425,0.067249759,0.2071033142167793,0.1401045298357142,0.004609003,0.072847988,0.00065814,1.4204659167484491e-06,3.868225426931154e-07,2.7291428017192127e-06,0.4607119330362447,-60,-40,-180,-150
10,6.15761911346098e-05,1.643220865544383e-06,0.03749597,0.079357123,0.2026799908852834,0.1435534898360715,0.001990763,0.046159633,0.000482748,9.990160592052564e-07,2.718002314578234e-07,2.1361871252076977e-06,0.488213655,-60,-40,-150,-120
11,5.5899654864672216e-05,9.194631783755924e-07,0.024056968,0.083908237,0.1884662562233385,0.1417968301107558,0.001987608,0.031538671,0.000165926,1.902293481846309e-07,5.105718597599917e-08,1.1953021318882697e-06,0.5280212481338142,-60,-40,-120,-90
12,6.0349654988208494e-05,1.185401440278679e-06,0.028429906,0.083646464,0.1836223981265059,0.1339960402713174,0.002534567,0.034258313,6.506197535831769e-05,1.1413518876757833e-07,3.029513204614668e-08,1.5410218723622829e-06,0.5333840302056944,-60,-40,-90,-60
13,3.8424942915080925e-05,2.2041137413115527e-06,0.035136199,0.082456674,0.1850815237708826,0.1437044688993301,0.003228688,0.044851652,0.000257103,4.691549075189637e-07,1.2719739606752118e-07,2.865347863705019e-06,0.5052396005188355,-60,-40,-60,-30
14,1.8749171656059622e-05,2.988204280726065e-06,0.035238954,0.084345908,0.1775861526708876,0.1417542917972495,0.001978176,0.030582938,0.000248411,5.42307231687972e-07,1.471968200813812e-07,3.884665564943885e-06,0.5282388576950201,-60,-40,-30,0
15,3.701995360519712e-05,2.774871598368757e-06,0.037379411,0.079865906,0.1832835178135563,0.1414722791602041,0.002778328,0.0354318,0.00026055,5.831663706193845e-07,1.583296302572678e-07,3.607333077879384e-06,0.5194840646565961,-60,-40,0,30
16,5.55199815485118e-05,1.5927437210626736e-06,0.034589511,0.089955914,0.1838561008653121,0.140973607,0.001623296,0.033986027,0.000205875,3.757491905024574e-07,1.0169053543885137e-07,2.070566837381476e-06,0.5147500092203053,-60,-40,30,60
17,6.614439005132043e-05,5.347915816308618e-07,0.039550399,0.080865176,0.1906068787036782,0.1438986527669734,0.003510012,0.048414387,0.000183008,3.4139459182483014e-07,9.2286112401879e-08,6.952290561201204e-07,0.4929036771069099,-60,-40,60,90
18,6.563610594881074e-05,6.720170559079744e-07,0.03167233,0.08753792,0.1922656922237753,0.140308525,0.003438403,0.04468707,0.000266223,4.410648996389242e-07,1.1949332343451253e-07,8.736221726803669e-07,0.4997560945136624,-60,-40,90,120
19,6.321811767056898e-05,1.141698221755258e-06,0.035994772,0.090217154,0.1972774528438085,0.1576983901196945,0.001607944,0.038271493,0.000401461,7.75596841318569e-07,2.1080415584063376e-07,1.4842076882818357e-06,0.4784645032528006,-60,-40,120,150
20,6.151525138706952e-05,4.7009972060364e-06,0.048314074,0.076448931,0.2002674025999805,0.1449550999341153,0.003388117,0.061272943,0.00091352,2.11412105355025e-06,5.762090159288265e-07,6.11129636784732e-06,0.4643648945049243,-60,-40,150,180
21,5.795006820758671e-05,1.1190332555631935e-06,0.046272447,0.076520162,0.2134247128901346,0.1561548940227652,0.003509599,0.063435708,0.000839357,1.841646068154717e-06,5.017802432580596e-07,1.454743232232152e-06,0.4397802526158201,-40,-20,-180,-157.5
22,5.220135921777614e-05,2.637890670616757e-07,0.039948744,0.076498993,0.204452986,0.1543912844562257,0.001942593,0.04594206,0.000412712,7.867859750811593e-07,2.1385081922178642e-07,3.429257871801784e-07,0.4763568188906149,-40,-20,-157.5,-135
